"+{0} more","另有 {0} 项",""
"Add","新增",""
"Add Flow Agent","新增 ERP 智能体",""
"Add Flow Knowledge Base","新增 ERP 知识库",""
"Add Flow Knowledge Source","新增知识源",""
"Add Flow Model","新增 AI 模型",""
"Add Flow Provider","新增模型服务商",""
"Add Flow Run","新增运行记录",""
"Add Flow Session","新增智能体会话",""
"Add Flow Tool","新增智能体工具",""
"Add Flow Trigger","新增任务触发器",""
"Agent","智能体",""
"API Key","API 密钥",""
"Approve","批准",""
"Apps","应用",""
"Ask {0}…","向 {0} 提问…",""
"Ask about your data, draft records, or run a task.","可以查询 ERP 数据、起草业务单据，或让智能体执行任务。",""
"Ask Flow…","向 ERP 智能体提问…",""
"Attach file","添加附件",""
"Attachments","附件",""
"Auto Approve Tool Calls","自动批准工具调用",""
"Auto Sync","自动同步",""
"Bad response","回复有问题",""
"Base URL","基础 URL",""
"Begin typing for results.","输入关键词搜索。",""
"Cancel","取消",""
"Changes requested","已要求调整",""
"Characters shared between consecutive chunks to preserve context across boundaries.","相邻知识分块之间保留的重叠字符数，用于维持跨分块上下文。",""
"Chunk Count","分块数量",""
"Chunk Index","分块序号",""
"Chunk Overlap","分块重叠",""
"Chunk Size","分块大小",""
"Chunking","分块设置",""
"Clear all filters","清除全部筛选",""
"Close (Ctrl+I)","关闭（Ctrl+I）",""
"Config Snapshot","配置快照",""
"Content Fields","内容字段",""
"Content Hash","内容哈希",""
"Context Window","上下文窗口",""
"Could not save feedback.","无法保存反馈。",""
"Couldn't attach file","无法添加附件",""
"Create {0} {1} records","创建 {0} 条 {1} 记录",""
"Create 1 {0} record","创建 1 条 {0} 记录",""
"Create and enable a Flow Model with your provider credentials.","使用模型服务商凭据创建并启用一个 AI 模型。",""
"Create your first Flow Knowledge Base to get started.","创建首个 ERP 知识库即可开始使用。",""
"Create your first Flow Knowledge Source to get started.","创建首个知识源即可开始使用。",""
"Created On","创建时间",""
"Creating Records","正在创建记录",""
"Cron Expression","Cron 表达式",""
"Default","默认",""
"Default Layout","默认布局",""
"Definition","定义",""
"Delete {0} {1} records","删除 {0} 条 {1} 记录",""
"Delete 1 {0} record","删除 1 条 {0} 记录",""
"Deleting Records","正在删除记录",""
"Denied","已拒绝",""
"Deny","拒绝",""
"descending","降序",""
"Describe what you want instead…","请说明你希望如何调整…",""
"Description (LLM-facing)","说明（面向大模型）",""
"Doc Event","单据事件",""
"Embedding Dimension","嵌入维度",""
"Embedding Model","嵌入模型",""
"Enable a Flow Agent (Flow Agent is created automatically once a model exists).","启用一个 ERP 智能体（创建模型后会自动生成 ERP 智能体）。",""
"Enable Server Scripts in your site config so the assistant can run code.","在站点配置中启用服务器脚本，使智能体可以执行代码。",""
"Enabled","已启用",""
